fecha,hora,precio_predicho,precio_real,error_absoluto
2025-01-21,13,110.1457,86.2604,23.8853
2025-01-21,14,115.0317,86.2604,28.7713
2025-01-21,15,118.8126,86.2604,32.5522
2025-01-21,16,119.7808,86.2604,33.5204
2025-01-21,17,119.0408,86.2604,32.7804
2025-01-21,18,120.1192,86.2429,33.8763
2025-01-21,19,118.5557,86.2429,32.3128
2025-01-21,20,113.2742,86.2429,27.0313
2025-01-21,21,103.1031,53.5862,49.5169
2025-01-21,22,86.8103,53.4871,33.3232
2025-01-21,23,75.297,53.4871,21.8099
2025-01-22,0,68.4039,53.5177,14.8862
2025-01-22,1,64.4862,53.5177,10.9685
2025-01-22,2,64.0696,53.5177,10.5519
2025-01-22,3,62.3478,53.5177,8.8301
2025-01-22,4,66.6959,53.5177,13.1782
2025-01-22,5,75.1688,80.3623,5.1935
2025-01-22,6,86.6233,80.509,6.1143
2025-01-22,7,94.7801,80.509,14.2711
2025-01-22,8,98.5503,80.509,18.0413
2025-01-22,9,102.8824,80.509,22.3734
2025-01-22,10,104.9996,80.509,24.4906
2025-01-22,11,111.0869,80.509,30.5779
2025-01-22,12,113.4204,80.509,32.9114
2025-01-22,13,114.2814,18.014,96.2674
2025-01-22,14,113.0933,53.6385,59.4548
2025-01-22,15,115.8468,80.509,35.3378
2025-01-22,16,115.9473,80.509,35.4383
2025-01-22,17,116.3278,80.509,35.8188
2025-01-22,18,120.5482,83.2687,37.2795
2025-01-22,19,122.3839,83.2687,39.1152
2025-01-22,20,116.0001,83.2687,32.7314
2025-01-22,21,107.0771,53.6341,53.443
2025-01-22,22,92.3783,46.3979,45.9804
2025-01-22,23,79.1123,9.9252,69.1871
2025-01-23,0,71.0127,9.9233,61.0894
2025-01-23,1,68.0851,8.8227,59.2624
2025-01-23,2,66.9389,7.3253,59.6136
2025-01-23,3,65.8297,7.3253,58.5044
2025-01-23,4,66.982,4.0647,62.9173
2025-01-23,5,73.4873,12.1225,61.3648
2025-01-23,6,87.7257,12.0932,75.6325
2025-01-23,7,97.4638,18.0344,79.4294
2025-01-23,8,104.4588,59.2861,45.1727
2025-01-23,9,109.5728,86.363,23.2098
2025-01-23,10,110.7289,86.363,24.3659
2025-01-23,11,114.9367,86.363,28.5737
2025-01-23,12,115.3096,86.363,28.9466
2025-01-23,13,114.9573,53.7127,61.2446
2025-01-23,14,115.3449,53.7127,61.6322
2025-01-23,15,117.8172,86.363,31.4542
2025-01-23,16,121.4471,86.363,35.0841
2025-01-23,17,121.6484,86.363,35.2854
2025-01-23,18,126.9345,86.3186,40.6159
2025-01-23,19,124.1533,86.3186,37.8347
2025-01-23,20,116.3133,86.3186,29.9947
2025-01-23,21,105.1457,53.6483,51.4974
2025-01-23,22,91.5273,53.4883,38.039
2025-01-23,23,85.3988,53.4883,31.9105
2025-01-24,0,73.1531,59.1427,14.0104
2025-01-24,1,69.9237,59.1427,10.781
2025-01-24,2,68.6798,18.0025,50.6773
2025-01-24,3,68.9305,45.0591,23.8714
2025-01-24,4,70.5367,45.0591,25.4776
2025-01-24,5,76.9834,46.435,30.5484
2025-01-24,6,86.9943,46.4182,40.5761
2025-01-24,7,94.9336,46.4182,48.5154
2025-01-24,8,103.0177,46.4182,56.5995
2025-01-24,9,107.9785,86.28,21.6985
2025-01-24,10,111.2834,86.28,25.0034
2025-01-24,11,112.7339,86.28,26.4539
2025-01-24,12,115.058,86.28,28.778
2025-01-24,13,113.8979,86.28,27.6179
2025-01-24,14,115.8209,86.28,29.5409
2025-01-24,15,117.19,114.7365,2.4535
2025-01-24,16,117.0214,105.9427,11.0787
2025-01-24,17,114.7632,105.9427,8.8205
2025-01-24,18,118.172,103.3654,14.8066
2025-01-24,19,118.4908,103.3654,15.1254
2025-01-24,20,111.2166,80.5294,30.6872
2025-01-24,21,104.416,53.6376,50.7784
2025-01-24,22,89.1735,46.435,42.7385
2025-01-24,23,82.8689,53.5828,29.2861
2025-01-25,0,80.7893,53.5606,27.2287
2025-01-25,1,74.9769,53.5606,21.4163
2025-01-25,2,73.2547,53.5606,19.6941
2025-01-25,3,70.626,53.5606,17.0654
2025-01-25,4,67.1099,53.5606,13.5493
2025-01-25,5,69.6632,53.5606,16.1026
2025-01-25,6,73.8764,53.6308,20.2456
2025-01-25,7,82.3765,53.6308,28.7457
2025-01-25,8,91.4273,53.6308,37.7965
2025-01-25,9,101.6851,53.6308,48.0543
2025-01-25,10,105.1837,53.6308,51.5529
